date,source,destination,distance_km,congestion_index,time_of_day,weather,day_of_week,festival,actual_travel_time_min,road_type,is_synthetic,hotspot
2024-03-20,Panvel,Juhu,40.347491318966455,0.8100461779329683,23:05,Cloudy,Wednesday,Eid,125.9,urban,1,0
2022-09-14,Bhandup,Panvel,30.1419870105436,0.6162378802972077,14:33,Heavy Rain,Wednesday,Ganesh Chaturthi,65.2,freeway,1,0
2024-12-11,Bhandup,Marine Lines,37.04006238170537,0.8049346291940067,09:29,Clear,Wednesday,Christmas/NewYear,84.8,freeway,1,0
2022-10-26,Borivali,Thane,16.070142899186386,0.8458152238323152,14:50,Clear,Monday,Diwali,51.6,urban,1,0
2022-11-05,Thane,Matunga,30.41625329039642,0.8299414709285516,22:41,Cloudy,Sunday,No,211.7,congested,1,0
2023-04-29,Thane,Crawford Market,36.39,0.91,10:34,Clear,Saturday,No,344.8,congested,0,1
2023-10-09,Dadar,Goregaon,21.842750702624183,0.9338865441662636,10:13,Clear,Tuesday,Ganesh Chaturthi,136.2,urban,1,1
2024-04-01,Lalbaug,Thane,37.45087085859135,0.1769661332080569,05:54,Clear,Thursday,No,36.4,freeway,1,0
2024-11-05,Panvel,Nerul,16.57,0.79,20:23,Clear,Tuesday,No,62.7,urban,0,0
2023-02-25,Juhu,Lalbaug,17.072637455179038,1.0,22:18,Clear,Thursday,No,93.2,urban,1,1
2022-03-21,Worli,Marine Lines,8.220954917418899,0.903074475160576,10:23,Cloudy,Monday,No,39.9,urban,1,1
2022-05-10,Dombivli,Western Express Highway,32.07369017082717,0.8893583924552775,23:30,Rain,Monday,Eid,170.2,urban,1,0
2022-11-22,Chembur,Borivali,25.32,0.58,18:52,Cloudy,Tuesday,No,41.9,freeway,0,0
2022-07-19,Bhandup,Kalyan,28.73801673151937,0.6903528949535919,16:04,Heavy Rain,Tuesday,No,67.0,freeway,1,0
2023-03-23,Malad,Kurla,13.71,0.9,17:16,Clear,Thursday,Ramadan Evenings,76.5,urban,0,1
2023-09-06,Thane,Andheri,23.05,0.97,12:22,Heavy Rain,Wednesday,Janmashtami,345.8,congested,0,1
2024-10-29,Belapur,Andheri,31.40757839968648,0.7262577550211237,13:32,Cloudy,Sunday,No,89.0,urban,1,0
2023-01-25,Nerul,Mohammad Ali Road,33.058634647302405,0.9397212836069748,14:24,Clear,Wednesday,No,237.2,congested,1,1
2022-06-21,Borivali,CST,42.797754229616906,0.9009866499130816,13:15,Heavy Rain,Saturday,No,242.3,urban,1,1
2024-07-16,Girgaon,Eastern Freeway Start,22.98,0.96,17:02,Rain,Tuesday,No,339.9,congested,0,1
2024-09-14,CST,Belapur,28.763654914829893,0.7176249879815411,20:21,Heavy Rain,Saturday,Ganesh Chaturthi,83.8,freeway,1,0
2023-01-25,Dombivli,Dadar,35.03,0.43,20:26,Clear,Wednesday,No,48.9,freeway,0,0
2024-05-20,Marine Lines,Dadar,12.72,0.31,22:41,Clear,Monday,No,14.2,freeway,0,0
2023-12-24,Ghatkopar,Western Express Highway,8.303095801878628,0.8888825224234362,16:16,Clear,Tuesday,No,64.7,congested,1,0
2022-02-22,Mulund,Bandra,24.59,0.81,23:31,Clear,Tuesday,No,77.9,urban,0,0
2023-06-23,Panvel,Bhandup,29.771525412888163,1.0,09:58,Rain,Monday,No,456.0,congested,1,1
2023-09-19,Eastern Freeway Start,Belapur,18.03,0.87,11:44,Heavy Rain,Tuesday,Ganesh Chaturthi,78.2,urban,0,0
2023-01-27,Kalyan,Kurla,43.79,0.77,23:06,Clear,Friday,No,133.4,urban,0,0
2024-11-10,Chembur,Malad,20.13,0.96,23:14,Clear,Sunday,No,151.4,congested,0,1
2022-08-22,Nerul,Thane,27.76531429985709,0.8759055235104685,15:01,Rain,Monday,Independence Day,140.1,urban,1,0
2024-03-27,Borivali,Worli,36.49668716892079,0.940373757637746,20:27,Rain,Monday,Ramadan Evenings,207.6,urban,1,1
2022-01-23,Kurla,Goregaon,13.95001345529868,0.9755740817673584,09:31,Clear,Tuesday,No,136.2,congested,1,1
2023-01-19,Panvel,Chembur,28.65466313480943,0.9497421089688176,01:25,Clear,Friday,No,204.7,congested,1,1
2024-07-12,Mohammad Ali Road,Marine Lines,1.884293753467411,0.8516326137908454,12:32,Cloudy,Monday,No,7.5,urban,1,0
2022-04-20,Bhandup,Ghatkopar,14.292934929558452,0.8248119100336694,15:55,Rain,Sunday,No,49.7,urban,1,0
2023-03-14,Crawford Market,Belapur,24.12,0.83,05:24,Clear,Tuesday,No,72.7,urban,0,0
2023-11-13,Marine Lines,CST,3.25,0.87,10:08,Clear,Monday,No,12.7,urban,0,0
2022-06-14,CST,Mohammad Ali Road,3.610224175540474,1.0,13:02,Cloudy,Thursday,No,59.8,congested,1,1
2023-08-03,Ghatkopar,Goregaon,16.150259834409052,0.9230741710130947,22:50,Rain,Tuesday,Independence Day,76.0,urban,1,1
2023-03-23,Juhu,Powai,11.5,0.86,07:16,Clear,Thursday,Ramadan Evenings,46.3,urban,0,0
2023-06-09,Mohammad Ali Road,Juhu,24.01,0.76,20:54,Cloudy,Friday,No,90.1,urban,0,0
2024-02-10,Juhu,Byculla,17.4,0.87,18:23,Fog,Saturday,No,79.9,urban,0,0
2023-05-02,Bandra,Dombivli,38.49799391223668,1.0,19:24,Clear,Friday,Eid,371.5,congested,1,1
